timestamp,oeste,mirim_doce,sul,perimbo,trombudo,norte,benedito,mirim,luis_alves,acu
2011-09-07T00:00,0.5,0.4,0.5,0.3,1.8,2.0,1.3,0.7,2.9,0.7
2011-09-07T01:00,1.6,0.8,0.4,0.3,2.1,3.2,1.5,1.1,1.5,1.1
2011-09-07T02:00,1.0,0.7,0.3,0.3,2.5,3.0,1.9,1.5,1.5,1.5
2011-09-07T03:00,0.6,0.2,0.1,0.0,1.4,1.9,1.6,2.4,1.3,2.4
2011-09-07T04:00,0.9,0.4,0.2,0.0,2.2,2.8,1.6,1.0,2.2,1.0
2011-09-07T05:00,0.7,0.4,0.0,0.0,1.6,2.0,1.5,1.5,2.1,1.5
2011-09-07T06:00,1.0,0.6,0.0,0.0,2.4,2.8,1.3,0.8,1.6,0.8
2011-09-07T07:00,1.4,1.3,0.9,1.0,1.2,1.0,1.5,1.1,1.6,1.1
2011-09-07T08:00,1.4,1.1,1.2,1.2,1.5,1.5,1.7,1.5,1.7,1.5
2011-09-07T09:00,1.7,1.4,2.0,0.9,1.5,1.7,1.7,1.8,1.7,1.8
2011-09-07T10:00,1.9,1.7,0.8,0.9,1.8,2.0,1.7,2.3,1.6,2.3
2011-09-07T11:00,1.6,1.7,1.1,1.1,1.5,1.4,0.6,1.6,1.0,1.6
2011-09-07T12:00,1.5,1.8,1.3,1.3,1.6,1.4,0.8,1.2,1.0,1.2
2011-09-07T13:00,1.3,2.1,1.8,2.0,1.8,1.0,1.4,1.6,1.3,1.6
2011-09-07T14:00,0.9,2.1,2.3,2.5,2.1,0.9,0.9,1.1,0.7,1.1
2011-09-07T15:00,1.4,2.1,2.7,2.2,2.0,1.2,0.8,0.6,0.5,0.6
2011-09-07T16:00,1.4,1.9,2.6,2.3,1.3,0.9,0.7,0.5,0.3,0.5
2011-09-07T17:00,1.2,1.5,2.1,2.7,1.4,1.2,0.5,0.4,0.2,0.4
2011-09-07T18:00,1.5,1.5,2.0,2.0,0.9,1.1,0.5,0.8,0.2,0.8
2011-09-07T19:00,1.4,2.0,1.5,2.1,1.2,0.5,0.6,0.2,0.2,0.2
2011-09-07T20:00,2.0,2.5,2.3,2.5,2.0,1.3,0.4,0.5,0.2,0.5
2011-09-07T21:00,1.9,2.8,2.2,3.0,2.2,1.0,0.8,0.6,0.2,0.6
2011-09-07T22:00,1.8,3.1,2.7,3.5,2.3,0.8,0.5,0.5,0.4,0.5
2011-09-07T23:00,2.1,3.5,4.1,4.2,2.7,1.2,0.5,0.6,0.3,0.6
2011-09-08T00:00,1.8,3.9,4.6,4.9,3.4,1.3,0.4,0.5,0.3,0.5
2011-09-08T01:00,1.4,3.5,5.2,5.3,3.6,1.4,0.8,1.2,0.5,1.2
2011-09-08T02:00,1.6,2.9,4.7,4.2,2.9,1.4,1.8,2.3,1.3,2.3
2011-09-08T03:00,2.4,3.3,3.7,3.1,2.8,1.9,2.0,2.2,1.6,2.2
2011-09-08T04:00,1.7,1.7,2.5,2.1,1.9,1.8,2.4,2.3,1.8,2.3
2011-09-08T05:00,2.0,2.0,2.2,1.7,1.6,1.6,2.1,2.4,1.6,2.4
2011-09-08T06:00,2.2,2.6,2.6,2.3,1.9,1.5,2.1,2.2,1.8,2.2
2011-09-08T07:00,1.5,2.3,3.2,3.0,2.3,1.5,2.7,2.4,2.0,2.4
2011-09-08T08:00,1.4,2.0,3.1,3.0,2.0,1.4,2.6,2.1,2.2,2.1
2011-09-08T09:00,1.8,2.2,3.4,2.9,2.0,1.5,2.3,2.0,1.7,2.0
2011-09-08T10:00,2.2,2.5,3.3,3.1,2.4,2.1,1.6,1.7,1.1,1.7
2011-09-08T11:00,2.7,3.2,3.6,3.9,3.1,2.6,1.4,1.7,0.9,1.7
2011-09-08T12:00,2.9,3.2,3.8,3.7,3.2,2.8,1.2,1.8,0.7,1.8
2011-09-08T13:00,2.9,3.2,3.6,3.8,3.6,3.3,0.9,1.5,0.6,1.5
2011-09-08T14:00,2.8,3.5,4.0,4.0,3.3,2.6,0.9,1.6,0.5,1.6
2011-09-08T15:00,3.2,4.2,4.3,4.7,4.0,2.9,1.1,1.6,1.0,1.6
2011-09-08T16:00,2.2,2.9,3.3,3.5,3.0,2.2,2.3,2.9,2.4,2.9
2011-09-08T17:00,2.1,3.4,3.2,3.8,3.3,2.0,1.3,1.7,1.1,1.7
2011-09-08T18:00,2.7,4.5,3.5,4.0,4.0,2.5,1.4,1.5,1.2,1.5
2011-09-08T19:00,2.2,4.3,3.3,4.8,3.8,1.6,0.5,0.9,0.6,0.9
2011-09-08T20:00,2.4,3.6,3.7,4.1,2.6,1.3,0.5,0.4,0.3,0.4
2011-09-08T21:00,2.9,4.0,2.5,3.8,2.8,1.5,0.8,0.7,0.6,0.7
