timestamp,oeste,mirim_doce,sul,perimbo,trombudo,norte,benedito,mirim,luis_alves,acu
1957-08-15T00:00,0.2,0.3,0.0,0.2,0.1,0.0,0.1,0.0,0.0,0.0
1957-08-15T01:00,0.2,0.3,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0
1957-08-15T02:00,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0
1957-08-15T03:00,0.1,0.1,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0
1957-08-15T04:00,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1
1957-08-15T05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1957-08-15T06:00,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1957-08-15T07:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1957-08-15T08:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1957-08-15T09:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1957-08-15T10:00,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1957-08-15T11:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1957-08-15T12:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1957-08-15T13:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1957-08-15T14:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1957-08-15T15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
1957-08-15T16:00,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0
1957-08-15T17:00,0.0,0.0,0.1,0.2,0.1,0.0,0.0,0.0,0.0,0.0
1957-08-15T18:00,0.0,0.1,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.1
1957-08-15T19:00,0.0,0.1,0.2,0.2,0.1,0.0,0.1,0.1,0.1,0.1
1957-08-15T20:00,0.2,0.2,0.1,0.2,0.1,0.0,0.0,0.0,0.0,0.0
1957-08-15T21:00,0.3,0.4,0.1,0.4,0.3,0.1,0.0,0.0,0.0,0.0
1957-08-15T22:00,0.2,0.3,0.2,0.3,0.1,0.0,0.1,0.1,0.1,0.1
1957-08-15T23:00,0.2,0.3,0.1,0.3,0.2,0.0,0.0,0.0,0.0,0.0
1957-08-16T00:00,0.3,0.3,0.1,0.3,0.1,0.0,0.0,0.0,0.0,0.0
1957-08-16T01:00,0.2,0.2,0.1,0.2,0.1,0.0,0.0,0.0,0.0,0.0
1957-08-16T02:00,0.2,0.3,0.1,0.3,0.1,0.0,0.0,0.0,0.0,0.0
1957-08-16T03:00,0.2,0.3,0.2,0.4,0.2,0.0,0.1,0.0,0.0,0.0
1957-08-16T04:00,0.3,0.4,0.2,0.5,0.2,0.0,0.3,0.1,0.2,0.1
1957-08-16T05:00,1.1,1.3,0.2,0.4,0.2,0.0,0.1,0.2,0.0,0.2
1957-08-16T06:00,1.5,1.9,0.2,0.8,0.7,0.2,0.4,0.2,0.0,0.2
1957-08-16T07:00,2.1,2.4,0.2,1.4,1.3,1.0,1.1,0.5,0.6,0.5
1957-08-16T08:00,1.9,2.2,1.2,1.8,2.0,1.7,1.9,0.9,1.6,0.9
1957-08-16T09:00,2.3,1.8,1.0,1.1,1.5,2.1,2.0,1.7,1.6,1.7
1957-08-16T10:00,1.8,1.1,0.9,0.7,1.1,1.9,2.6,2.2,1.9,2.2
1957-08-16T11:00,0.8,0.4,0.9,0.6,0.7,1.2,1.8,1.4,0.9,1.4
1957-08-16T12:00,0.3,0.3,0.8,0.4,0.4,0.5,1.2,0.9,0.7,0.9
1957-08-16T13:00,0.1,0.6,0.6,0.8,0.4,0.2,1.0,0.5,0.6,0.5
1957-08-16T14:00,0.1,0.8,0.4,1.2,0.4,0.1,0.3,0.3,0.8,0.3
1957-08-16T15:00,0.7,1.9,0.9,2.4,1.1,0.1,0.1,0.1,0.1,0.1
1957-08-16T16:00,0.5,1.0,2.3,1.6,0.9,0.4,0.7,3.0,0.9,3.0
1957-08-16T17:00,0.5,1.0,2.1,1.2,0.6,0.4,0.7,0.5,0.2,0.5
1957-08-16T18:00,0.6,1.4,2.9,1.6,1.4,0.8,1.1,0.4,0.3,0.4
1957-08-16T19:00,0.5,1.1,1.7,1.7,1.3,0.7,0.8,0.6,0.5,0.6
1957-08-16T20:00,0.8,1.0,0.5,0.5,0.9,0.8,0.5,0.6,0.4,0.6
1957-08-16T21:00,2.6,1.6,0.3,0.2,0.2,1.0,1.3,0.9,0.4,0.9
1957-08-16T22:00,1.6,0.4,0.4,0.3,0.4,1.8,3.5,1.1,1.5,1.1
1957-08-16T23:00,0.1,0.1,0.4,0.3,0.1,0.1,2.7,0.9,1.1,0.9
1957-08-17T00:00,0.8,0.8,0.6,0.4,0.3,0.2,2.1,0.7,0.8,0.7
1957-08-17T01:00,0.2,0.1,0.2,0.1,0.1,0.1,2.1,1.8,1.5,1.8
1957-08-17T02:00,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.0
1957-08-17T03:00,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0
1957-08-17T04:00,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1957-08-17T05:00,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1957-08-17T06:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1957-08-17T07:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1957-08-17T08:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1957-08-17T09:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1957-08-17T10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
